ID,run,proportion_NA
Uts_12_0y_001,20200406N,0.25
Uts_12_0y_002,20200406N,1.0
Uts_12_0y_008,20200406N,0.9545454545454546
Uts_12_0y_009,20200406N,0.38636363636363635
Uts_12_0y_014,20200406N,0.4034090909090909
Uts_12_0y_015,20200406N,0.2784090909090909
Uts_12_0y_016,20200406N,0.8465909090909091
Uts_12_0y_045,20200406N,0.32386363636363635
Uts_12_0y_082,20200406N,0.20454545454545456
Uts_12_0y_125,20200406N,0.2215909090909091
Uts_12_0y_161,20200406N,1.0
Uts_12_0y_200,20200406N,0.2897727272727273
Uts_12_0y_223,20200406N,0.21022727272727273
Uts_12_0y_281,20200406N,0.21022727272727273
Uts_12_0y_286,20200406N,1.0
Uts_12_0y_295,20200406N,1.0
Uts_12_0y_360,20200406N,0.6306818181818182
Uts_12_0y_525,20200406N,0.8579545454545454
Uts_12_0y_586,20200406N,0.9829545454545454
Uts_12_0y_589,20200406N,0.9659090909090909
Uts_12_0y_630,20200406N,0.8409090909090909
Uts_12_0y_646,20200406N,1.0
Uts_12_0y_679,20200406N,1.0
Uts_12_0y_680,20200406N,1.0
Uts_12_0y_726,20200406N,0.9886363636363636
Uts_12_0y_733,20200406N,1.0
Uts_12_0y_794,20200406N,0.42613636363636365
Uts_12_0y_795,20200406N,0.22727272727272727
Uts_12_0y_822,20200406N,1.0
Uts_13_0y_0101,20190208R,0.3068181818181818
Uts_13_0y_0102,20190208R,0.9943181818181818
Uts_13_0y_0115,20190208R,0.9943181818181818
Uts_13_0y_0119,20190208R,0.3409090909090909
Uts_13_0y_0123,20190208R,1.0
Uts_13_0y_0125,20190208R,0.3522727272727273
Uts_13_0y_0131,20190208R,0.9943181818181818
Uts_13_0y_0132,20190208R,0.9943181818181818
Uts_13_0y_0139,20190208R,1.0
Uts_13_0y_0141,20190208R,0.9943181818181818
Uts_13_0y_0143,20190208R,0.9943181818181818
Uts_13_0y_0144,20190208R,0.7670454545454546
Uts_13_0y_0152,20190208R,1.0
Uts_13_0y_0156,20190208R,0.9943181818181818
Uts_13_0y_0157,20190208R,0.9943181818181818
Uts_13_0y_0160,20190208R,0.9943181818181818
