"row1","row2","ID1","ID2","Mismatch","SnpdBoth","LLR"
6670,10607,"Uts_15_0y_1158","Uts_16_1y_0330",0,166,30.5849007013679
6457,10436,"Uts_15_0y_0882","Uts_16_1y_0155",0,164,29.7675881919096
16604,17217,"Uts_19_0y_1021","Uts_19_0y_1847",0,168,29.5664350934466
14852,14862,"Uts_18_0y_2024","Uts_18_0y_2034",0,160,29.5170146249884
3533,3534,"Uts_14_0y_0147","Uts_14_0y_0148",0,168,29.2941510791939
15448,15487,"Uts_18_1y_1942","Uts_18_1y_1981",0,168,28.6905178120479
1783,5093,"Uts_13_0y_0329","Uts_14_1y_0118",0,167,28.6798321802494
4130,7491,"Uts_14_0y_0749","Uts_15_1y_0110",0,168,28.5944492551594
10349,13340,"Uts_16_1y_0065","Uts_17_2y_1291",0,167,28.2936243903627
15504,18264,"Uts_18_1y_2093","Uts_19_2-3y_2405",0,166,28.2576687172202
8214,10229,"Uts_16_0y_0224","Uts_16_0y_2304",0,168,28.2221498200707
240,458,"Uts_14A_083","Uts_16A_109",0,162,28.0756800746694
14379,14430,"Uts_18_0y_1317","Uts_18_0y_1368",0,167,28.0460476917294
10403,13370,"Uts_16_1y_0121","Uts_17_2y_1968",0,167,27.9253015570233
4102,7619,"Uts_14_0y_0721","Uts_15_1y_0243",0,168,27.7877789246164
1336,1337,"Uts_12_0y_672","Uts_12_0y_673",0,168,27.7720989087707
2845,5429,"Uts_13_1y_0354","Uts_14_2pp_142",0,168,27.7142539816474
9060,12873,"Uts_16_0y_1115","Uts_17_1y_1176",0,168,27.7133991084935
6363,6371,"Uts_15_0y_0785","Uts_15_0y_0793",0,168,27.6864379478696
9596,9822,"Uts_16_0y_1654","Uts_16_0y_1894",0,168,27.6516375891426
7583,10631,"Uts_15_1y_0206","Uts_16_2y_0024",0,168,27.6188208883805
7078,10333,"Uts_15_0y_1605","Uts_16_1y_0049",0,163,27.548851606652
1244,1245,"Uts_12_0y_576","Uts_12_0y_577",0,168,27.4621128072552
9023,9024,"Uts_16_0y_1066","Uts_16_0y_1067",0,167,27.3987720581344
12711,12991,"Uts_17_1y_0568","Uts_17_1y_1689",0,166,27.3896047588607
14366,14386,"Uts_18_0y_1304","Uts_18_0y_1324",0,168,27.385557282566
15306,18147,"Uts_18_1y_1207","Uts_19_2-3y_1733",0,167,27.3523184087721
