id,offspring_year,offspring_age_class,n_offspring,parent_type,parent_year,parent_age_class
NA,11,A,54,dam,NA,NA
NA,12,A,36,dam,NA,NA
NA,12,0y,622,dam,NA,NA
NA,13,A,66,dam,NA,NA
NA,13,0y,772,dam,NA,NA
NA,13,1y,744,dam,NA,NA
NA,14,A,102,dam,NA,NA
NA,14,0y,1047,dam,NA,NA
NA,14,1y,426,dam,NA,NA
NA,14,2pp,11,dam,NA,NA
NA,14,2y,155,dam,NA,NA
NA,15,A,80,dam,NA,NA
NA,15,0y,1580,dam,NA,NA
NA,15,1y,343,dam,NA,NA
NA,15,2y,105,dam,NA,NA
NA,16,A,103,dam,NA,NA
NA,16,0y,1146,dam,NA,NA
NA,16,1y,278,dam,NA,NA
NA,16,2y,29,dam,NA,NA
NA,16,3y,32,dam,NA,NA
NA,17,A,91,dam,NA,NA
NA,17,0y,1541,dam,NA,NA
NA,17,1y,381,dam,NA,NA
NA,17,2y,72,dam,NA,NA
NA,17,3y,7,dam,NA,NA
NA,18,A,97,dam,NA,NA
NA,18,0y,887,dam,NA,NA
NA,18,1y,546,dam,NA,NA
NA,18,2-3y,127,dam,NA,NA
NA,19,0y,1227,dam,NA,NA
NA,19,1y,242,dam,NA,NA
NA,19,2-3y,242,dam,NA,NA
Uts_11A_37,14,A,8,dam,11,A
Uts_11A_37,14,2y,2,dam,11,A
Uts_11A_37,15,A,1,dam,11,A
Uts_11A_37,16,A,4,dam,11,A
Uts_11A_37,17,A,2,dam,11,A
Uts_11A_37,12,0y,28,dam,11,A
Uts_11A_37,13,0y,1,dam,11,A
Uts_11A_37,13,1y,20,dam,11,A
Uts_11A_53,16,A,2,dam,11,A
Uts_11A_53,18,A,1,dam,11,A
Uts_11A_53,12,0y,34,dam,11,A
Uts_11A_53,13,1y,24,dam,11,A
Uts_11A_53,14,2y,4,dam,11,A
Uts_11A_29,16,A,2,dam,11,A
Uts_11A_29,12,0y,24,dam,11,A
Uts_11A_29,13,1y,28,dam,11,A
Uts_11A_29,14,2y,1,dam,11,A
Uts_11A_22,16,A,1,dam,11,A
Uts_11A_22,16,0y,277,dam,11,A
Uts_11A_22,16,2y,1,dam,11,A
Uts_11A_22,16,3y,1,dam,11,A
Uts_11A_22,12,0y,19,dam,11,A
Uts_11A_22,13,1y,12,dam,11,A
Uts_11A_22,14,0y,68,dam,11,A
Uts_11A_22,14,2y,1,dam,11,A
Uts_11A_22,15,1y,20,dam,11,A
Uts_11A_22,17,1y,45,dam,11,A
Uts_11A_22,17,2y,1,dam,11,A
Uts_11A_22,18,0y,109,dam,11,A
Uts_11A_22,18,1y,1,dam,11,A
Uts_11A_22,18,2-3y,13,dam,11,A
Uts_11A_22,19,1y,10,dam,11,A
Uts_11A_22,19,2-3y,2,dam,11,A
Uts_13A_065,16,A,1,dam,13,A
Uts_13A_065,16,3y,3,dam,13,A
Uts_13A_065,17,A,1,dam,13,A
Uts_13A_065,18,A,5,dam,13,A
Uts_13A_065,12,0y,13,dam,13,A
Uts_13A_065,13,1y,18,dam,13,A
Uts_13A_065,14,0y,179,dam,13,A
Uts_13A_065,14,2y,2,dam,13,A
Uts_13A_065,15,1y,52,dam,13,A
Uts_13A_065,15,2y,1,dam,13,A
Uts_11A_39,16,A,1,dam,11,A
Uts_11A_39,17,A,1,dam,11,A
Uts_11A_39,12,0y,23,dam,11,A
Uts_11A_39,13,0y,2,dam,11,A
Uts_11A_39,13,1y,12,dam,11,A
Uts_12A_003,17,A,1,dam,12,A
Uts_12A_003,13,0y,22,dam,12,A
Uts_12A_003,14,1y,4,dam,12,A
Uts_12A_003,15,2y,1,dam,12,A
Uts_13A_047,18,A,7,dam,13,A
Uts_13A_047,18,0y,68,dam,13,A
Uts_13A_047,18,1y,1,dam,13,A
Uts_13A_047,18,2-3y,17,dam,13,A
Uts_13A_047,14,0y,70,dam,13,A
Uts_13A_047,15,1y,16,dam,13,A
Uts_13A_047,15,2y,1,dam,13,A
Uts_13A_047,16,0y,149,dam,13,A
Uts_13A_047,16,2y,1,dam,13,A
Uts_13A_047,16,3y,2,dam,13,A
Uts_13A_047,17,0y,1,dam,13,A
Uts_13A_047,17,1y,45,dam,13,A
Uts_13A_047,17,2y,2,dam,13,A
Uts_13A_047,19,1y,10,dam,13,A
Uts_13A_047,19,2-3y,7,dam,13,A
Uts_13A_037,18,A,2,dam,13,A
Uts_13A_037,14,0y,10,dam,13,A
Uts_13A_037,15,1y,5,dam,13,A
Uts_13A_033,18,A,3,dam,13,A
Uts_13A_033,14,0y,50,dam,13,A
Uts_13A_033,15,1y,14,dam,13,A
Uts_13A_033,16,2y,1,dam,13,A
Uts_13A_033,16,3y,2,dam,13,A
Uts_13A_058,18,A,1,dam,13,A
Uts_13A_058,14,0y,3,dam,13,A
Uts_13A_058,15,1y,1,dam,13,A
Uts_12_0y_653,18,A,1,dam,12,0y
Uts_12_0y_653,14,0y,2,dam,12,0y
Uts_13A_044,18,A,1,dam,13,A
Uts_13A_044,14,0y,18,dam,13,A
Uts_13A_044,15,1y,3,dam,13,A
Uts_13A_044,17,0y,1,dam,13,A
Uts_13A_039,18,A,1,dam,13,A
Uts_13A_039,14,0y,37,dam,13,A
Uts_13A_039,15,0y,1,dam,13,A
Uts_13A_039,15,1y,8,dam,13,A
Uts_13A_039,16,3y,1,dam,13,A
Uts_15A_066,18,A,1,dam,15,A
Uts_15A_066,18,0y,75,dam,15,A
Uts_15A_066,18,2-3y,4,dam,15,A
Uts_15A_066,14,0y,77,dam,15,A
Uts_15A_066,15,1y,22,dam,15,A
Uts_15A_066,15,2y,1,dam,15,A
Uts_15A_066,16,0y,179,dam,15,A
Uts_15A_066,16,1y,2,dam,15,A
Uts_15A_066,16,3y,1,dam,15,A
Uts_15A_066,17,1y,33,dam,15,A
Uts_15A_066,17,2y,4,dam,15,A
Uts_15A_066,19,0y,1,dam,15,A
Uts_15A_066,19,1y,6,dam,15,A
Uts_15A_066,19,2-3y,1,dam,15,A
Uts_11A_28,12,0y,27,dam,11,A
Uts_11A_28,13,0y,2,dam,11,A
Uts_11A_28,13,1y,31,dam,11,A
Uts_11A_28,14,2y,2,dam,11,A
Uts_11A_28,17,0y,1,dam,11,A
Uts_18A_071,12,0y,1,dam,18,A
Uts_18A_071,13,1y,1,dam,18,A
Uts_18A_071,19,0y,26,dam,18,A
Uts_11A_52,12,0y,4,dam,11,A
Uts_11A_52,14,2y,1,dam,11,A
Uts_12A_004,13,0y,46,dam,12,A
Uts_12A_004,14,1y,3,dam,12,A
Uts_12A_004,15,2y,1,dam,12,A
Uts_14_2y_0038,13,0y,8,dam,14,2y
Uts_13_1y_0526,13,0y,1,dam,13,1y
Uts_13_1y_0526,19,0y,1,dam,13,1y
Uts_13_1y_0094,13,0y,1,dam,13,1y
Uts_12A_030,13,0y,104,dam,12,A
Uts_12A_030,14,1y,11,dam,12,A
Uts_12A_030,15,2y,1,dam,12,A
Uts_12_0y_178,13,0y,1,dam,12,0y
Uts_12A_018,13,0y,24,dam,12,A
Uts_12A_018,13,1y,1,dam,12,A
Uts_12A_018,18,0y,1,dam,12,A
Uts_12A_019,13,0y,18,dam,12,A
Uts_12A_019,13,1y,1,dam,12,A
Uts_12A_019,14,1y,1,dam,12,A
Uts_12A_019,15,2y,2,dam,12,A
Uts_13_1y_0259,13,0y,1,dam,13,1y
Uts_13_1y_0655,13,0y,1,dam,13,1y
Uts_13_1y_0672,13,0y,1,dam,13,1y
Uts_13_1y_0236,13,0y,1,dam,13,1y
Uts_12A_021,13,0y,3,dam,12,A
Uts_12_0y_131,14,0y,1,dam,12,0y
Uts_12_0y_131,16,3y,1,dam,12,0y
Uts_13_1y_0607,14,0y,1,dam,13,1y
Uts_13A_059,14,0y,1,dam,13,A
Uts_12_0y_497,14,0y,1,dam,12,0y
Uts_15_2y_0077,14,0y,1,dam,15,2y
Uts_13_1y_0766,14,0y,1,dam,13,1y
Uts_13A_066,14,0y,8,dam,13,A
Uts_13A_066,15,1y,2,dam,13,A
Uts_13A_004,14,0y,1,dam,13,A
Uts_13A_004,15,1y,1,dam,13,A
Uts_12_0y_734,14,0y,1,dam,12,0y
Uts_14_2y_0092,14,0y,1,dam,14,2y
Uts_12_0y_402,14,0y,1,dam,12,0y
Uts_13_1y_0187,14,0y,1,dam,13,1y
Uts_16_3y_0036,14,0y,1,dam,16,3y
Uts_17_3y_1785,15,0y,1,dam,17,3y
Uts_14A_108,15,0y,60,dam,14,A
Uts_14A_108,16,1y,6,dam,14,A
Uts_14A_108,16,2y,1,dam,14,A
Uts_14A_108,17,2y,1,dam,14,A
Uts_16_2y_0013,15,0y,2,dam,16,2y
Uts_14A_018,15,0y,1,dam,14,A
Uts_14_2y_0100,15,0y,1,dam,14,2y
Uts_14A_107,15,0y,2,dam,14,A
Uts_14A_107,16,1y,1,dam,14,A
Uts_14A_024,15,0y,71,dam,14,A
Uts_14A_024,16,1y,18,dam,14,A
Uts_14A_024,16,2y,1,dam,14,A
Uts_14A_024,17,2y,2,dam,14,A
Uts_14A_024,17,3y,1,dam,14,A
Uts_14A_024,18,2-3y,2,dam,14,A
Uts_14A_066,15,0y,23,dam,14,A
Uts_14A_066,16,1y,2,dam,14,A
Uts_14A_066,16,2y,1,dam,14,A
Uts_12_0y_119,15,0y,1,dam,12,0y
Uts_12_0y_119,16,3y,1,dam,12,0y
Uts_13_1y_0060,15,0y,1,dam,13,1y
Uts_13_0y_0321,15,0y,2,dam,13,0y
Uts_14_1y_0299,15,0y,2,dam,14,1y
Uts_14_0y_0847,15,0y,1,dam,14,0y
Uts_14_1y_0432,15,0y,1,dam,14,1y
Uts_14_0y_0645,15,0y,1,dam,14,0y
Uts_13_0y_0963,15,0y,2,dam,13,0y
Uts_13_0y_1018,15,0y,1,dam,13,0y
Uts_13_0y_0302,15,0y,1,dam,13,0y
Uts_15_2y_0103,15,0y,1,dam,15,2y
Uts_14A_050,15,0y,1,dam,14,A
Uts_14A_050,16,1y,2,dam,14,A
Uts_14A_050,17,2y,2,dam,14,A
Uts_13_0y_0978,15,0y,1,dam,13,0y
Uts_14_1y_0166,15,0y,1,dam,14,1y
Uts_14_1y_0124,15,0y,4,dam,14,1y
Uts_13_0y_0641,15,0y,1,dam,13,0y
Uts_13_0y_0747,15,0y,1,dam,13,0y
Uts_14_1y_0409,15,0y,1,dam,14,1y
Uts_14_0y_0252,15,0y,1,dam,14,0y
Uts_13_0y_0658,15,0y,1,dam,13,0y
Uts_13_0y_0967,15,0y,1,dam,13,0y
Uts_17_3y_1304,15,0y,1,dam,17,3y
Uts_13_0y_0666,15,0y,1,dam,13,0y
Uts_13_0y_0858,15,0y,1,dam,13,0y
Uts_13_0y_0443,15,0y,1,dam,13,0y
Uts_13_0y_0680,15,0y,1,dam,13,0y
Uts_13_0y_0697,15,0y,2,dam,13,0y
Uts_14A_063,15,0y,1,dam,14,A
Uts_14A_063,16,1y,4,dam,14,A
Uts_14A_063,18,2-3y,1,dam,14,A
