ID,run,proportion_NA
Uts_11A_43,20190619N,0.11931818181818182
Uts_12A_018,20190416,0.06818181818181818
Uts_12A_029,20190416,0.09659090909090909
Uts_12A_032,20190416,0.056818181818181816
Uts_13A_001,20190416,0.05113636363636364
Uts_13A_009,20190416,0.08522727272727272
Uts_13A_012,20190416,0.09659090909090909
Uts_13A_013,20190416,0.07386363636363637
Uts_13A_017,20190416,0.10227272727272728
Uts_13A_021,20190416,0.09659090909090909
Uts_13A_025,20190416,0.05113636363636364
Uts_13A_041,20190416,0.07386363636363637
Uts_14A_012,20191203N,0.14772727272727273
Uts_14A_017,20191203N,0.13636363636363635
Uts_14A_020,20190416,0.05113636363636364
Uts_14A_029,20191203N,0.17045454545454544
Uts_14A_042,20191203N,0.09659090909090909
Uts_14A_043,20191203N,0.09659090909090909
Uts_14A_049,20191203N,0.125
Uts_14A_059,20191203N,0.06818181818181818
Uts_14A_069,20191203N,0.1534090909090909
Uts_14A_076,20191203N,0.09090909090909091
Uts_14A_082,20191203N,0.056818181818181816
Uts_14A_098,20190416,0.125
Uts_14A_108,20190416,0.05113636363636364
Uts_15A_009,20190619N,0.05113636363636364
Uts_16A_011,20190416,0.10795454545454546
Uts_16A_018,20190416,0.0625
Uts_16A_033,20190416,0.08522727272727272
Uts_16A_063,20200117N,0.125
Uts_16A_065,20190416,0.10795454545454546
Uts_16A_080,20190416,0.06818181818181818
Uts_16A_093,20190416,0.10795454545454546
Uts_16A_110,20190416,0.056818181818181816
Uts_16A_113,20190416,0.13636363636363635
Uts_16A_114,20190416,0.0625
Uts_16A_116,20190913N,0.056818181818181816
Uts_17A_002,20200117N,0.10227272727272728
Uts_17A_004,20200117N,0.05113636363636364
Uts_17A_007,20200117N,0.1534090909090909
Uts_17A_008,20200117N,0.10227272727272728
Uts_17A_038,20200117N,0.0625
Uts_17A_055,20200406N,0.11931818181818182
Uts_17A_087,20200219N,0.0625
Uts_17A_090,20200219N,0.14772727272727273
Uts_18A_055,20191203N,0.0625
Uts_12_0y_001,20200406N,0.25
Uts_12_0y_002,20200406N,1.0
Uts_12_0y_005,20200406N,0.0625
Uts_12_0y_008,20200406N,0.9545454545454546
Uts_12_0y_009,20200406N,0.38636363636363635
Uts_12_0y_014,20200406N,0.4034090909090909
Uts_12_0y_015,20200406N,0.2784090909090909
Uts_12_0y_016,20200406N,0.8465909090909091
Uts_12_0y_033,20200406N,0.07386363636363637
Uts_12_0y_045,20200406N,0.32386363636363635
Uts_12_0y_054,20200406N,0.05113636363636364
Uts_12_0y_055,20200406N,0.19886363636363635
Uts_12_0y_066,20200406N,0.1875
Uts_12_0y_069,20200406N,0.125
Uts_12_0y_082,20200406N,0.20454545454545456
Uts_12_0y_088,20200406N,0.17613636363636365
Uts_12_0y_095,20200219N,0.09659090909090909
Uts_12_0y_125,20200406N,0.2215909090909091
Uts_12_0y_130,20200406N,0.05113636363636364
Uts_12_0y_145,20200406N,0.05113636363636364
Uts_12_0y_146,20200406N,0.0625
Uts_12_0y_148,20200406N,0.19318181818181818
Uts_12_0y_161,20200406N,1.0
Uts_12_0y_170,20200406N,0.0625
Uts_12_0y_193,20200406N,0.14772727272727273
Uts_12_0y_200,20200406N,0.2897727272727273
Uts_12_0y_223,20200406N,0.21022727272727273
Uts_12_0y_248,20200406N,0.10227272727272728
Uts_12_0y_281,20200406N,0.21022727272727273
Uts_12_0y_286,20200406N,1.0
Uts_12_0y_295,20200406N,1.0
Uts_12_0y_318,20200406N,0.056818181818181816
Uts_12_0y_360,20200406N,0.6306818181818182
Uts_12_0y_525,20200406N,0.8579545454545454
Uts_12_0y_543,20200406N,0.13068181818181818
Uts_12_0y_586,20200406N,0.9829545454545454
Uts_12_0y_589,20200406N,0.9659090909090909
Uts_12_0y_603,20200406N,0.056818181818181816
Uts_12_0y_606,20200406N,0.08522727272727272
Uts_12_0y_630,20200406N,0.8409090909090909
Uts_12_0y_646,20200406N,1.0
Uts_12_0y_663,20200406N,0.10227272727272728
Uts_12_0y_679,20200406N,1.0
Uts_12_0y_680,20200406N,1.0
Uts_12_0y_704,20200406N,0.05113636363636364
Uts_12_0y_726,20200406N,0.9886363636363636
Uts_12_0y_733,20200406N,1.0
Uts_12_0y_783,20200406N,0.056818181818181816
Uts_12_0y_794,20200406N,0.42613636363636365
Uts_12_0y_795,20200406N,0.22727272727272727
Uts_12_0y_796,20200406N,0.09659090909090909
Uts_12_0y_822,20200406N,1.0
Uts_12_0y_826,20200406N,0.09659090909090909
Uts_13_0y_0027,20190208R,0.19886363636363635
Uts_13_0y_0036,20190208R,0.10227272727272728
Uts_13_0y_0061,20190208R,0.08522727272727272
Uts_13_0y_0065,20190208R,0.056818181818181816
Uts_13_0y_0091,20190208R,0.056818181818181816
Uts_13_0y_0098,20190208R,0.056818181818181816
Uts_13_0y_0099,20190208R,0.05113636363636364
Uts_13_0y_0100,20190208R,0.17045454545454544
Uts_13_0y_0101,20190208R,0.3068181818181818
Uts_13_0y_0102,20190208R,0.9943181818181818
Uts_13_0y_0103,20190208R,0.11363636363636363
