"row1","row2","ID1","ID2","Mismatch","SnpdBoth","LLR"
6253,10004,"Uts_15_0y_1158","Uts_16_1y_0330",0,166,30.5891703092212
6164,9838,"Uts_15_0y_0882","Uts_16_1y_0155",0,164,29.7663334460174
15330,15936,"Uts_19_0y_1021","Uts_19_0y_1847",0,168,29.5615226537575
3367,3368,"Uts_14_0y_0147","Uts_14_0y_0148",0,168,29.2973840786286
14258,14296,"Uts_18_1y_1942","Uts_18_1y_1981",0,168,28.6922869796644
1672,4885,"Uts_13_0y_0329","Uts_14_1y_0118",0,167,28.6808140893165
3931,6937,"Uts_14_0y_0749","Uts_15_1y_0110",0,168,28.5940018861675
9754,12328,"Uts_16_1y_0065","Uts_17_2y_1291",0,167,28.2995031885585
14313,16913,"Uts_18_1y_2093","Uts_19_2-3y_2405",0,166,28.2605302736729
7654,9638,"Uts_16_0y_0224","Uts_16_0y_2304",0,168,28.2237244225
217,425,"Uts_14A_083","Uts_16A_109",0,162,28.0759575196335
13286,13330,"Uts_18_0y_1317","Uts_18_0y_1368",0,167,28.050846416966
9805,12355,"Uts_16_1y_0121","Uts_17_2y_1968",0,167,27.9278206577382
3903,7064,"Uts_14_0y_0721","Uts_15_1y_0243",0,168,27.7885911510707
1270,1271,"Uts_12_0y_672","Uts_12_0y_673",0,168,27.7763162824598
8487,11965,"Uts_16_0y_1115","Uts_17_1y_1176",0,168,27.714301638011
2711,5220,"Uts_13_1y_0354","Uts_14_2pp_142",0,168,27.7123458424002
6078,6086,"Uts_15_0y_0785","Uts_15_0y_0793",0,168,27.6889953808235
9016,9241,"Uts_16_0y_1654","Uts_16_0y_1894",0,168,27.6578944698016
7029,10028,"Uts_15_1y_0206","Uts_16_2y_0024",0,168,27.6145701828512
6539,9738,"Uts_15_0y_1605","Uts_16_1y_0049",0,163,27.548315854086
1181,1182,"Uts_12_0y_576","Uts_12_0y_577",0,168,27.4619229292257
8450,8451,"Uts_16_0y_1066","Uts_16_0y_1067",0,167,27.3966414871528
11820,12076,"Uts_17_1y_0568","Uts_17_1y_1689",0,166,27.3867292282916
13275,13292,"Uts_18_0y_1304","Uts_18_0y_1324",0,168,27.3855429900136
14130,16801,"Uts_18_1y_1207","Uts_19_2-3y_1733",0,167,27.353417731112
13642,16438,"Uts_18_0y_1869","Uts_19_1y_0889",0,168,27.3473248886804
4275,7213,"Uts_14_0y_1104","Uts_15_1y_0392",0,165,27.2969426981914
381,2868,"Uts_16A_061","Uts_13_1y_0529",0,168,27.1633373217328
6437,9739,"Uts_15_0y_1490","Uts_16_1y_0050",0,165,27.1278328590733
14612,16696,"Uts_18_2-3y_2002","Uts_19_2-3y_0894",0,167,27.0983540284503
11962,12174,"Uts_17_1y_1173","Uts_17_1y_1965",0,167,26.9791309434706
14119,16734,"Uts_18_1y_1196","Uts_19_2-3y_1413",0,167,26.9731584726572
8341,11823,"Uts_16_0y_0955","Uts_17_1y_0571",0,168,26.9507720666742
2826,5261,"Uts_13_1y_0476","Uts_14_2y_0036",0,168,26.9122506960357
13178,16474,"Uts_18_0y_1172","Uts_19_1y_1410",0,164,26.8723433679849
14071,16766,"Uts_18_1y_1086","Uts_19_2-3y_1698",0,166,26.8621289333234
16434,16520,"Uts_19_1y_0885","Uts_19_1y_1900",0,168,26.8441551754514
403,5324,"Uts_16A_086","Uts_14_2y_0107",0,168,26.8203611921404
16348,16661,"Uts_19_1y_0382","Uts_19_2-3y_0643",0,162,26.7699074486473
10804,14131,"Uts_17_0y_1141","Uts_18_1y_1208",0,167,26.7141145091036
925,2788,"Uts_12_0y_316","Uts_13_1y_0433",0,168,26.7088588321021
10039,12175,"Uts_16_2y_0036","Uts_17_2y_1966",0,167,26.6962164601692
14033,16805,"Uts_18_1y_1048","Uts_19_2-3y_1737",0,168,26.4808586285003
5140,7411,"Uts_14_1y_0374","Uts_15_2y_0089",0,167,26.4700158057424
545,546,"Uts_18A_026","Uts_18A_027",0,167,26.4515429796412
13336,13388,"Uts_18_0y_1376","Uts_18_0y_1433",0,167,26.4130438675721
8641,8642,"Uts_16_0y_1274","Uts_16_0y_1275",0,168,26.4098690308621
13065,16475,"Uts_18_0y_0913","Uts_19_1y_1651",0,168,26.4008923325763
42,132,"Uts_11A_42","Uts_13A_054",0,167,26.3916399477032
12445,16303,"Uts_18_0y_0057","Uts_19_1y_0154",0,168,26.337800110279
6517,9839,"Uts_15_0y_1581","Uts_16_1y_0156",0,166,26.2928035965288
297,510,"Uts_15A_056","Uts_17A_088",0,165,26.2770237742188
15685,15965,"Uts_19_0y_1470","Uts_19_0y_1878",0,166,26.2303831633578
4782,7349,"Uts_14_1y_0014","Uts_15_2y_0027",0,168,26.1397586273494
11216,11217,"Uts_17_0y_1996","Uts_17_0y_1997",0,168,26.1276521413468
5939,9752,"Uts_15_0y_0630","Uts_16_1y_0063",0,168,26.1152137640895
7423,10064,"Uts_15_2y_0101","Uts_16_3y_0025",0,168,26.0981766998878
4780,7348,"Uts_14_1y_0012","Uts_15_2y_0026",0,168,26.0951619560187
4711,7323,"Uts_14_0y_1539","Uts_15_1y_0503",0,168,25.95573674565
342,2434,"Uts_16A_021","Uts_13_1y_0063",0,168,25.8940843576778
10718,16625,"Uts_17_0y_1035","Uts_19_2-3y_0192",0,163,25.8820797514782
8872,12257,"Uts_16_0y_1508","Uts_17_1y_2471",0,165,25.8350398707918
312,316,"Uts_15A_071","Uts_15A_075",0,168,25.8040637351715
9669,12256,"Uts_16_0y_2337","Uts_17_1y_2470",0,165,25.7787105867481
10272,16865,"Uts_17_0y_0248","Uts_19_2-3y_2292",0,167,25.765233955328
1225,2373,"Uts_12_0y_624","Uts_13_1y_0001",0,167,25.5980497910573
7183,10057,"Uts_15_1y_0362","Uts_16_3y_0018",0,168,25.5821609368047
15865,15887,"Uts_19_0y_1774","Uts_19_0y_1796",0,168,25.5330443694018
13998,16779,"Uts_18_1y_1013","Uts_19_2-3y_1711",0,167,25.5124155669968
4741,4765,"Uts_14_0y_1569","Uts_14_0y_1594",0,168,25.4904553636582
1152,2425,"Uts_12_0y_547","Uts_13_1y_0054",0,167,25.3332505118535
3778,3892,"Uts_14_0y_0593","Uts_14_0y_0710",0,168,25.3146322316761
394,3215,"Uts_16A_076","Uts_13_1y_0894",0,166,25.2937185840199
8139,12068,"Uts_16_0y_0734","Uts_17_1y_1680",0,162,25.2229832410308
9767,12348,"Uts_16_1y_0078","Uts_17_2y_1778",0,162,25.1796085323819
