OffspID,Dam,Sire,DamOrigin,SireOrigin,DamNatalPop,SireNatalPop
Aku_12_001,NA,usM2011,NA,NA,NA,NA
Aku_12_002,Aku_11A_021,usM2011,local,NA,Akujoki,NA
Aku_12_003,Aku_11A_021,usM2011,local,NA,Akujoki,NA
Aku_12_004,Aku_11A_045,usM2011,local,NA,Akujoki,NA
Aku_12_005,Aku_11A_045,usM2011,local,NA,Akujoki,NA
Aku_12_006,Aku_11A_021,usM2011,local,NA,Akujoki,NA
Aku_12_007,Aku_11A_021,usM2011,local,NA,Akujoki,NA
Aku_12_009,usF2011,Aku_11A_009,NA,disperser,NA,Baisjohka
Aku_12_010,Aku_11A_021,usM2011,local,NA,Akujoki,NA
Aku_12_011,Aku_11A_021,Aku_11A_006,local,local,Akujoki,Akujoki
Aku_12_013,Aku_11A_021,usM2011,local,NA,Akujoki,NA
Aku_12_014,Aku_11A_045,NA,local,NA,Akujoki,NA
Aku_12_015,Aku_11A_045,NA,local,NA,Akujoki,NA
Aku_12_016,NA,NA,NA,NA,NA,NA
Aku_12_017,Aku_11A_021,Aku_11A_006,local,local,Akujoki,Akujoki
Aku_12_018,Aku_11A_045,NA,local,NA,Akujoki,NA
Aku_12_021,Aku_11A_021,usM2011,local,NA,Akujoki,NA
Aku_12_022,Aku_11A_045,usM2011,local,NA,Akujoki,NA
Aku_12_023,Aku_11A_021,usM2011,local,NA,Akujoki,NA
Aku_12_024,Aku_11A_045,Aku_11A_011,local,local,Akujoki,Akujoki
Aku_12_025,Aku_11A_045,Aku_11A_049,local,disperser,Akujoki,Nilijoki
Aku_12_028,NA,usM2011,NA,NA,NA,NA
Aku_12_029,Aku_11A_021,usM2011,local,NA,Akujoki,NA
Aku_12_030,Aku_11A_045,Aku_11A_011,local,local,Akujoki,Akujoki
Aku_12_031,Aku_11A_045,usM2011,local,NA,Akujoki,NA
Aku_12_032,Aku_11A_045,usM2011,local,NA,Akujoki,NA
Aku_12_034,NA,Aku_11A_011,NA,local,NA,Akujoki
Aku_12_035,Aku_11A_045,Aku_11A_011,local,local,Akujoki,Akujoki
Aku_12_036,NA,NA,NA,NA,NA,NA
Aku_12_037,NA,usM2011,NA,NA,NA,NA
Aku_12_038,Aku_11A_045,usM2011,local,NA,Akujoki,NA
Aku_12_039,NA,Aku_11A_011,NA,local,NA,Akujoki
Aku_12_040,Aku_11A_020,usM2011,disperser,NA,Nilijoki,NA
Aku_12_041,NA,NA,NA,NA,NA,NA
Aku_12_042,Aku_11A_021,usM2011,local,NA,Akujoki,NA
Aku_12_044,NA,Aku_11A_011,NA,local,NA,Akujoki
Aku_12_045,Aku_11A_045,Aku_11A_011,local,local,Akujoki,Akujoki
Aku_12_046,Aku_11A_045,Aku_11A_011,local,local,Akujoki,Akujoki
Aku_12_047,Aku_11A_052,Aku_11A_049,local,disperser,Akujoki,Nilijoki
Aku_12_048,Aku_11A_052,Aku_11A_049,local,disperser,Akujoki,Nilijoki
Aku_12_049,Aku_11A_045,usM2011,local,NA,Akujoki,NA
Aku_12_050,Aku_11A_052,Aku_11A_049,local,disperser,Akujoki,Nilijoki
Aku_12_051,Aku_11A_045,Aku_11A_011,local,local,Akujoki,Akujoki
Aku_12_052,Aku_11A_052,Aku_11A_049,local,disperser,Akujoki,Nilijoki
Aku_12_053,Aku_11A_045,usM2011,local,NA,Akujoki,NA
Aku_12_054,Aku_11A_052,Aku_11A_049,local,disperser,Akujoki,Nilijoki
Aku_12_055,Aku_11A_045,NA,local,NA,Akujoki,NA
Aku_12_056,Aku_11A_020,usM2011,disperser,NA,Nilijoki,NA
Aku_12_057,Aku_11A_021,usM2011,local,NA,Akujoki,NA
Aku_12_058,Aku_11A_021,usM2011,local,NA,Akujoki,NA
Aku_12_059,NA,usM2011,NA,NA,NA,NA
Aku_12_061,NA,usM2011,NA,NA,NA,NA
Aku_12_063,Aku_11A_045,Aku_11A_011,local,local,Akujoki,Akujoki
Aku_12_064,Aku_11A_045,Aku_11A_011,local,local,Akujoki,Akujoki
Aku_12_065,Aku_11A_021,usM2011,local,NA,Akujoki,NA
