"","ID","year","date","tag.ID","wt.kg","length.cm","sex","notes.fi","notes.en","notes.KM","dead","recapture","match.ID","Scale.smoltage","scale.seaage","Respawner","notes.FI","notes.ENG","InterpAge"
"1","Uts_11A_022",2011,"9/27/2011","F835",5.7,83,"F","","","",NA,NA,"",3,2,0,"","",2
"2","Uts_11A_028",2011,"9/28/2011","F841",11.9,99,"F","","","",NA,NA,"",4,3,0,"","",3
"3","Uts_11A_029",2011,"9/28/2011","F842",10.3,100,"F","","","",NA,NA,"",3,3,0,"","",3
"4","Uts_11A_037",2011,"9/29/2011","F850",13.5,114,"F","","","",NA,NA,"",3,4,1,"","",4
"5","Uts_11A_039",2011,"9/30/2011","F852",14.3,109,"F","","","",NA,NA,"",3,4,0,"","",4
"6","Uts_11A_052",2011,"10/3/2011","F864",9.7,98,"F","","","",NA,NA,"",3,3,0,"","",3
"7","Uts_11A_053",2011,"10/3/2011","F866",7.3,92,"F","","","",NA,NA,"",3,3,0,"","",3
"8","Uts_12A_003",2012,"9/16/2012","F153",4.9,81,"F","","","",NA,NA,"",4,2,1,"","",2
"9","Uts_12A_004",2012,"9/16/2012","F154",7,90,"F","","","",NA,NA,"",5,2,0,"","",2
"10","Uts_12A_018",2012,"9/25/2012","F168",15,111,"F","","","",NA,NA,"",4,4,1,"","",4
"11","Uts_12A_019",2012,"9/25/2012","F169",5.7,84,"F","","","",NA,NA,"",3,2,0,"","",2
"12","Uts_12A_021",2012,"9/25/2012","F171",4,76,"F","","","",NA,NA,"",3,2,0,"","",2
"13","Uts_12A_027",2012,"9/27/2012","F176",1.5,57,"F","","","",NA,NA,"",4,1,0,"","",1
"14","Uts_12A_030",2012,"9/28/2012","F179",7.2,92,"F","","","",NA,NA,"",3,2,0,"","",2
"15","Uts_13A_004",2013,"17.-18.9.2013","F504",9.8,102,"F","","","",NA,NA,"",3,3,0,"","",3
"16","Uts_13A_008",2013,"17.-18.9.2013","F508",1.4,56,"F","","","",NA,NA,"",5,1,0,"","",1
"17","Uts_13A_012",2013,"19.-20.9.2013","F512",2,58,"F","","dead","",1,NA,"",NA,NA,NA,"","",1
"18","Uts_13A_033",2013,"26.-27.9.2013","F533",8.9,95,"F","","","",NA,NA,"",3,3,0,"","",3
"19","Uts_13A_037",2013,"29.-30.9.2013","F537",8.8,97,"F","","","",NA,NA,"",4,3,0,"","",3
"20","Uts_13A_039",2013,"29.-30.9.2013","F539",5.7,84,"F","","","",NA,NA,"",4,2,0,"","",2
"21","Uts_13A_044",2013,"29.-30.9.2013","F544",4.9,82,"F","","","",NA,NA,"",NA,2,0,"","",2
