offspring,microsat_dam,microsat_sire,snp_dam,snp_sire
UTS_15_0Y_0001,NA,NA,id_miss,id_miss
UTS_15_0Y_0002,NA,NA,id_miss,id_miss
UTS_15_0Y_0003,NA,NA,id_miss,id_miss
UTS_15_0Y_0004,NA,NA,id_miss,id_miss
UTS_15_0Y_0005,NA,NA,id_miss,id_miss
UTS_15_0Y_0009,NA,NA,id_miss,id_miss
UTS_15_0Y_0010,NA,NA,id_miss,id_miss
UTS_15_0Y_0011,NA,UTS_14A_064,id_miss,id_miss
UTS_15_0Y_0012,NA,NA,id_miss,id_miss
UTS_15_0Y_0013,NA,NA,id_miss,id_miss
UTS_15_0Y_0014,NA,NA,id_miss,id_miss
UTS_15_0Y_0015,NA,UTS_14A_027,id_miss,id_miss
UTS_15_0Y_0016,NA,NA,id_miss,id_miss
UTS_15_0Y_0017,NA,UTS_14A_088,id_miss,id_miss
UTS_15_0Y_0018,NA,NA,id_miss,id_miss
UTS_15_0Y_0019,NA,UTS_14A_064,id_miss,id_miss
UTS_15_0Y_0020,NA,NA,id_miss,id_miss
UTS_15_0Y_0021,NA,NA,id_miss,id_miss
UTS_15_0Y_0022,NA,NA,id_miss,id_miss
UTS_15_0Y_0023,NA,NA,id_miss,id_miss
UTS_15_0Y_0024,NA,NA,id_miss,id_miss
UTS_15_0Y_0025,NA,NA,id_miss,id_miss
UTS_15_0Y_0026,NA,NA,id_miss,id_miss
UTS_15_0Y_0027,NA,NA,id_miss,id_miss
UTS_15_0Y_0028,NA,NA,id_miss,id_miss
UTS_15_0Y_0029,NA,NA,id_miss,id_miss
UTS_15_0Y_0030,NA,UTS_14A_005,id_miss,id_miss
UTS_15_0Y_0031,NA,NA,id_miss,id_miss
UTS_15_0Y_0032,NA,UTS_14A_005,id_miss,id_miss
UTS_15_0Y_0033,NA,NA,id_miss,id_miss
UTS_15_0Y_0034,NA,UTS_14A_027,id_miss,id_miss
UTS_15_0Y_0035,NA,NA,id_miss,id_miss
UTS_15_0Y_0036,NA,NA,id_miss,id_miss
UTS_15_0Y_0037,UTS_14A_108,NA,id_miss,id_miss
UTS_15_0Y_0038,NA,NA,id_miss,id_miss
UTS_15_0Y_0039,NA,NA,id_miss,id_miss
UTS_15_0Y_0040,NA,NA,id_miss,id_miss
UTS_15_0Y_0041,NA,NA,id_miss,id_miss
UTS_15_0Y_0042,NA,NA,id_miss,id_miss
UTS_15_0Y_0043,NA,NA,id_miss,id_miss
UTS_15_0Y_0044,NA,NA,id_miss,id_miss
UTS_15_0Y_0045,NA,UTS_14A_027,id_miss,id_miss
UTS_15_0Y_0046,NA,UTS_14A_074,id_miss,id_miss
UTS_15_0Y_0047,NA,NA,id_miss,id_miss
UTS_15_0Y_0048,NA,NA,id_miss,id_miss
UTS_15_0Y_0049,NA,NA,id_miss,id_miss
UTS_15_0Y_0050,NA,NA,id_miss,id_miss
UTS_15_0Y_0051,NA,NA,id_miss,id_miss
UTS_15_0Y_0052,NA,NA,id_miss,id_miss
UTS_15_0Y_0053,NA,NA,id_miss,id_miss
UTS_15_0Y_0054,NA,NA,id_miss,id_miss
UTS_15_0Y_0055,NA,NA,id_miss,id_miss
UTS_15_0Y_0056,NA,NA,id_miss,id_miss
UTS_15_0Y_0057,NA,UTS_14A_089,id_miss,id_miss
UTS_15_0Y_0058,NA,NA,id_miss,id_miss
UTS_15_0Y_0059,NA,NA,id_miss,id_miss
UTS_15_0Y_0060,NA,UTS_14A_027,id_miss,id_miss
UTS_15_0Y_0062,NA,NA,id_miss,id_miss
UTS_15_0Y_0063,NA,NA,id_miss,id_miss
UTS_15_0Y_0064,NA,NA,id_miss,id_miss
UTS_15_0Y_0065,NA,NA,id_miss,id_miss
UTS_15_0Y_0066,NA,NA,id_miss,id_miss
UTS_15_0Y_0067,NA,NA,id_miss,id_miss
UTS_15_0Y_0068,NA,NA,id_miss,id_miss
UTS_15_0Y_0069,NA,NA,id_miss,id_miss
UTS_15_0Y_0070,NA,NA,id_miss,id_miss
UTS_15_0Y_0071,NA,NA,id_miss,id_miss
UTS_15_0Y_0072,NA,NA,id_miss,id_miss
UTS_15_0Y_0073,NA,NA,id_miss,id_miss
UTS_15_0Y_0075,NA,NA,id_miss,id_miss
UTS_15_0Y_0076,NA,NA,id_miss,id_miss
UTS_15_0Y_0077,NA,NA,id_miss,id_miss
UTS_15_0Y_0078,NA,NA,id_miss,id_miss
UTS_15_0Y_0079,NA,NA,id_miss,id_miss
UTS_15_0Y_0080,NA,NA,id_miss,id_miss
UTS_15_0Y_0081,NA,NA,id_miss,id_miss
UTS_15_0Y_0082,NA,NA,id_miss,id_miss
UTS_15_0Y_0083,NA,NA,id_miss,id_miss
UTS_15_0Y_0084,NA,NA,id_miss,id_miss
UTS_15_0Y_0085,NA,NA,id_miss,id_miss
UTS_15_0Y_0086,NA,NA,id_miss,id_miss
UTS_15_0Y_0087,NA,NA,id_miss,id_miss
UTS_15_0Y_0088,NA,NA,id_miss,id_miss
UTS_15_0Y_0089,NA,NA,id_miss,id_miss
UTS_15_0Y_0090,NA,NA,id_miss,id_miss
UTS_15_0Y_0091,NA,NA,id_miss,id_miss
UTS_15_0Y_0092,NA,NA,id_miss,id_miss
UTS_15_0Y_0093,NA,UTS_14A_027,id_miss,id_miss
UTS_15_0Y_0094,NA,UTS_14A_064,id_miss,id_miss
UTS_15_0Y_0096,NA,NA,id_miss,id_miss
UTS_15_0Y_0097,NA,NA,id_miss,id_miss
UTS_15_0Y_0098,NA,NA,id_miss,id_miss
UTS_15_0Y_0099,NA,NA,id_miss,id_miss
UTS_15_0Y_0100,NA,NA,id_miss,id_miss
UTS_15_0Y_0101,NA,NA,id_miss,id_miss
UTS_15_0Y_0102,NA,NA,id_miss,id_miss
UTS_15_0Y_0103,NA,NA,id_miss,id_miss
UTS_15_0Y_0104,NA,NA,id_miss,id_miss
UTS_15_0Y_0105,NA,NA,id_miss,id_miss
UTS_15_0Y_0106,NA,NA,id_miss,id_miss
UTS_15_0Y_0107,NA,NA,id_miss,id_miss
UTS_15_0Y_0108,NA,NA,id_miss,id_miss
UTS_15_0Y_0109,NA,NA,id_miss,id_miss
UTS_15_0Y_0110,NA,NA,id_miss,id_miss
UTS_15_0Y_0111,NA,NA,id_miss,id_miss
UTS_15_0Y_0112,NA,NA,id_miss,id_miss
UTS_15_0Y_0113,NA,NA,id_miss,id_miss
UTS_15_0Y_0114,NA,NA,id_miss,id_miss
UTS_15_0Y_0115,NA,NA,id_miss,id_miss
UTS_15_0Y_0116,NA,NA,id_miss,id_miss
UTS_15_0Y_0117,NA,NA,id_miss,id_miss
UTS_15_0Y_0118,NA,NA,id_miss,id_miss
UTS_15_0Y_0119,NA,NA,id_miss,id_miss
UTS_15_0Y_0120,NA,NA,id_miss,id_miss
UTS_15_0Y_0121,NA,NA,id_miss,id_miss
UTS_15_0Y_0122,NA,NA,id_miss,id_miss
UTS_15_0Y_0123,NA,NA,id_miss,id_miss
UTS_15_0Y_0124,NA,NA,id_miss,id_miss
UTS_15_0Y_0125,NA,NA,id_miss,id_miss
UTS_15_0Y_0126,NA,NA,id_miss,id_miss
UTS_15_0Y_0127,NA,NA,id_miss,id_miss
UTS_15_0Y_0128,NA,NA,id_miss,id_miss
UTS_15_0Y_0129,NA,NA,id_miss,id_miss
UTS_15_0Y_0130,NA,NA,id_miss,id_miss
UTS_15_0Y_0131,NA,NA,id_miss,id_miss
UTS_15_0Y_0132,NA,NA,id_miss,id_miss
UTS_15_0Y_0133,NA,NA,id_miss,id_miss
UTS_15_0Y_0134,NA,UTS_14A_091,id_miss,id_miss
UTS_15_0Y_0135,NA,NA,id_miss,id_miss
