catch_year,age,n,n_fail,percent_fail
11,0y,0,0,0
11,1y,0,0,0
11,2-3y,0,0,0
11,2y,0,0,0
11,3y,0,0,0
11,A,54,0,0.0
12,0y,826,17,0.020581113801452784
12,1y,0,0,0
12,2-3y,0,0,0
12,2y,0,0,0
12,3y,0,0,0
12,A,36,0,0.0
13,0y,1044,23,0.022030651340996167
13,1y,911,4,0.0043907793633369925
13,2-3y,0,0,0
13,2y,0,0,0
13,3y,0,0,0
13,A,67,0,0.0
14,0y,1598,12,0.007509386733416771
14,1y,448,1,0.002232142857142857
14,2-3y,0,0,0
14,2y,171,0,0.0
14,3y,0,0,0
14,A,123,0,0.0
15,0y,1916,30,0.015657620041753653
15,1y,503,7,0.013916500994035786
15,2-3y,0,0,0
15,2y,119,1,0.008403361344537815
15,3y,0,0,0
15,A,82,0,0.0
16,0y,2350,47,0.02
16,1y,330,4,0.012121212121212121
16,2-3y,0,0,0
16,2y,36,0,0.0
16,3y,48,0,0.0
16,A,117,0,0.0
17,0y,2137,30,0.014038371548900327
17,1y,673,12,0.017830609212481426
17,2-3y,0,0,0
17,2y,95,0,0.0
17,3y,8,0,0.0
17,A,98,0,0.0
18,0y,1645,4,0.0024316109422492403
18,1y,595,4,0.0067226890756302525
18,2-3y,159,1,0.006289308176100629
18,2y,0,0,0
18,3y,0,0,0
18,A,122,0,0.0
19,0y,1718,20,0.011641443538998836
19,1y,361,3,0.008310249307479225
19,2-3y,326,1,0.003067484662576687
19,2y,0,0,0
19,3y,0,0,0
19,A,0,0,0
