"","sire","type","year","class","n.default","n.conserved","n.informed","Sex","BirthYear"
"1","Uts_11A_01","Adult",2011,"adult",2,2,2,2,2005
"2","Uts_11A_02","Adult",2011,"adult",6,6,6,2,2005
"3","Uts_11A_05","Adult",2011,"adult",1,1,1,2,2005
"4","Uts_11A_06","Adult",2011,"adult",25,25,25,2,2005
"5","Uts_11A_07","Adult",2011,"adult",28,28,28,2,2005
"6","Uts_11A_08","Adult",2011,"adult",4,4,4,2,2005
"7","Uts_11A_09","Adult",2011,"adult",15,15,15,2,2005
"8","Uts_11A_11","Adult",2011,"adult",4,4,4,2,2005
"9","Uts_11A_12","Adult",2011,"adult",29,29,29,2,2005
"10","Uts_11A_14","Adult",2011,"adult",1,1,1,2,2005
"11","Uts_11A_15","Adult",2011,"adult",15,15,15,2,2005
"12","Uts_11A_16","Adult",2011,"adult",9,9,9,2,2005
"13","Uts_11A_17","Adult",2011,"adult",35,36,36,2,2005
"14","Uts_11A_18","Adult",2011,"adult",18,18,18,2,2005
"15","Uts_11A_19","Adult",2011,"adult",8,8,8,2,2005
"16","Uts_11A_20","Adult",2011,"adult",11,11,11,2,2005
"17","Uts_11A_23","Adult",2011,"adult",1,1,1,2,2005
"18","Uts_11A_24","Adult",2011,"adult",1,1,1,2,2005
"19","Uts_11A_25","Adult",2011,"adult",2,2,2,2,2005
"20","Uts_11A_26","Adult",2011,"adult",36,36,36,2,2005
"21","Uts_11A_30","Adult",2011,"adult",1,1,1,2,2005
"22","Uts_11A_34","Adult",2011,"adult",91,91,91,2,2005
"23","Uts_11A_36","Adult",2011,"adult",74,74,74,2,2005
"24","Uts_11A_38","Adult",2011,"adult",7,7,7,2,2005
"25","Uts_11A_40","Adult",2011,"adult",60,60,60,2,2005
"26","Uts_11A_42","Adult",2011,"adult",32,32,32,2,2005
"27","Uts_11A_43","Adult",2011,"adult",7,7,7,2,2005
"28","Uts_11A_44","Adult",2011,"adult",2,2,2,2,2005
"29","Uts_11A_48","Adult",2011,"adult",1,1,1,2,2005
"30","Uts_11A_49","Adult",2011,"adult",3,3,3,2,2005
"31","Uts_11A_51","Adult",2011,"adult",7,7,7,2,2005
"32","Uts_11A_54","Adult",2011,"adult",5,5,5,2,2005
"33","Uts_12_0y_072","Offspring",2012,"0y",2,NA,2,2,2012
"34","Uts_12_0y_106","Offspring",2012,"0y",2,NA,1,2,2012
"35","Uts_12_0y_242","Offspring",2012,"0y",1,1,1,2,2012
"36","Uts_12_0y_276","Offspring",2012,"0y",1,1,1,2,2012
"37","Uts_12_0y_359","Offspring",2012,"0y",1,1,1,2,2012
"38","Uts_12_0y_399","Offspring",2012,"0y",1,1,1,2,2012
"39","Uts_12_0y_437","Offspring",2012,"0y",1,NA,1,2,2012
"40","Uts_12_0y_483","Offspring",2012,"0y",2,NA,NA,2,2012
"41","Uts_12_0y_488","Offspring",2012,"0y",1,NA,1,2,2012
"42","Uts_12_0y_665","Offspring",2012,"0y",2,NA,2,2,2012
"43","Uts_12_0y_788","Offspring",2012,"0y",1,1,1,2,2012
"44","Uts_12A_005","Adult",2012,"adult",31,31,31,2,2006
"45","Uts_12A_006","Adult",2012,"adult",7,7,7,2,2007
"46","Uts_12A_007","Adult",2012,"adult",12,12,12,2,2005
"47","Uts_12A_008","Adult",2012,"adult",3,3,3,2,2008
"48","Uts_12A_009","Adult",2012,"adult",18,18,18,2,2007
"49","Uts_12A_010","Adult",2012,"adult",5,5,5,2,2006
"50","Uts_12A_011","Adult",2012,"adult",9,9,9,2,2006
"51","Uts_12A_014","Adult",2012,"adult",2,2,2,2,2007
"52","Uts_12A_015","Adult",2012,"adult",6,6,6,2,2007
"53","Uts_12A_016","Adult",2012,"adult",22,22,22,2,2007
"54","Uts_12A_017","Adult",2012,"adult",22,22,22,2,2006
"55","Uts_12A_022","Adult",2012,"adult",22,22,22,2,2006
"56","Uts_12A_023","Adult",2012,"adult",2,2,2,2,2008
"57","Uts_12A_028","Adult",2012,"adult",2,2,2,2,2007
"58","Uts_12A_033","Adult",2012,"adult",2,2,2,2,2006
"59","Uts_12A_034","Adult",2012,"adult",36,36,36,2,2007
"60","Uts_12A_035","Adult",2012,"adult",1,1,1,2,2007
"61","Uts_12A_036","Adult",2012,"adult",44,44,44,2,2007
"62","Uts_13_0y_0061","Offspring",2013,"0y",2,2,2,2,2013
"63","Uts_13_0y_0108","Offspring",2013,"0y",1,NA,1,2,2013
"64","Uts_13_0y_0182","Offspring",2013,"0y",3,2,3,2,2013
"65","Uts_13_0y_0185","Offspring",2013,"0y",1,NA,1,2,2013
"66","Uts_13_0y_0186","Offspring",2013,"0y",3,2,3,2,2013
"67","Uts_13_0y_0191","Offspring",2013,"0y",1,1,1,2,2013
"68","Uts_13_0y_0226","Offspring",2013,"0y",1,NA,1,2,2013
"69","Uts_13_0y_0243","Offspring",2013,"0y",1,1,1,2,2013
"70","Uts_13_0y_0245","Offspring",2013,"0y",1,1,1,2,2013
"71","Uts_13_0y_0259","Offspring",2013,"0y",1,1,1,2,2013
"72","Uts_13_0y_0297","Offspring",2013,"0y",1,NA,1,2,2013
"73","Uts_13_0y_0300","Offspring",2013,"0y",1,2,1,2,2013
"74","Uts_13_0y_0312","Offspring",2013,"0y",2,1,2,2,2013
"75","Uts_13_0y_0320","Offspring",2013,"0y",1,NA,1,2,2013
"76","Uts_13_0y_0331","Offspring",2013,"0y",1,NA,1,2,2013
"77","Uts_13_0y_0340","Offspring",2013,"0y",1,NA,1,2,2013
"78","Uts_13_0y_0347","Offspring",2013,"0y",2,NA,2,2,2013
"79","Uts_13_0y_0363","Offspring",2013,"0y",1,1,1,2,2013
"80","Uts_13_0y_0378","Offspring",2013,"0y",1,NA,1,2,2013
"81","Uts_13_0y_0410","Offspring",2013,"0y",1,NA,1,2,2013
"82","Uts_13_0y_0421","Offspring",2013,"0y",1,NA,1,2,2013
"83","Uts_13_0y_0494","Offspring",2013,"0y",1,NA,2,2,2013
"84","Uts_13_0y_0528","Offspring",2013,"0y",1,NA,1,2,2013
"85","Uts_13_0y_0588","Offspring",2013,"0y",1,NA,1,2,2013
"86","Uts_13_0y_0590","Offspring",2013,"0y",2,NA,2,2,2013
"87","Uts_13_0y_0613","Offspring",2013,"0y",1,NA,1,2,2013
"88","Uts_13_0y_0618","Offspring",2013,"0y",1,NA,1,2,2013
"89","Uts_13_0y_0626","Offspring",2013,"0y",1,NA,1,2,2013
"90","Uts_13_0y_0630","Offspring",2013,"0y",1,NA,1,2,2013
"91","Uts_13_0y_0632","Offspring",2013,"0y",1,NA,1,2,2013
"92","Uts_13_0y_0638","Offspring",2013,"0y",1,NA,2,2,2013
"93","Uts_13_0y_0653","Offspring",2013,"0y",1,NA,1,2,2013
"94","Uts_13_0y_0726","Offspring",2013,"0y",2,NA,2,2,2013
"95","Uts_13_0y_0763","Offspring",2013,"0y",2,NA,1,2,2013
"96","Uts_13_0y_0792","Offspring",2013,"0y",1,NA,1,2,2013
"97","Uts_13_0y_0850","Offspring",2013,"0y",1,1,1,2,2013
"98","Uts_13_0y_0892","Offspring",2013,"0y",1,NA,NA,2,2013
"99","Uts_13_0y_0922","Offspring",2013,"0y",1,1,1,2,2013
"100","Uts_13_0y_0937","Offspring",2013,"0y",1,NA,1,2,2013
"101","Uts_13_0y_0939","Offspring",2013,"0y",1,NA,1,2,2013
"102","Uts_13_0y_1002","Offspring",2013,"0y",1,NA,NA,2,2013
"103","Uts_13_1y_0086","Offspring",2013,"1y",1,1,1,2,2012
"104","Uts_13_1y_0102","Offspring",2013,"1y",1,1,1,2,2012
"105","Uts_13_1y_0242","Offspring",2013,"1y",1,2,1,2,2012
"106","Uts_13_1y_0281","Offspring",2013,"1y",1,NA,1,2,2012
"107","Uts_13_1y_0296","Offspring",2013,"1y",1,NA,NA,2,2012
"108","Uts_13_1y_0396","Offspring",2013,"1y",2,NA,3,2,2012
"109","Uts_13_1y_0470","Offspring",2013,"1y",2,1,2,2,2012
"110","Uts_13_1y_0638","Offspring",2013,"1y",1,NA,1,2,2012
"111","Uts_13_1y_0773","Offspring",2013,"1y",1,NA,1,2,2012
"112","Uts_13_1y_0776","Offspring",2013,"1y",1,1,1,2,2012
"113","Uts_13_1y_0789","Offspring",2013,"1y",1,NA,NA,2,2012
"114","Uts_13_1y_0853","Offspring",2013,"1y",1,NA,1,2,2012
"115","Uts_13_1y_0883","Offspring",2013,"1y",1,NA,1,2,2012
"116","Uts_13_1y_0896","Offspring",2013,"1y",5,5,5,2,2012
"117","Uts_13_1y_0905","Offspring",2013,"1y",1,NA,1,2,2012
"118","Uts_13A_001","Adult",2013,"adult",9,9,9,2,2008
"119","Uts_13A_002","Adult",2013,"adult",1,1,1,2,2008
"120","Uts_13A_006","Adult",2013,"adult",9,9,9,2,2008
"121","Uts_13A_007","Adult",2013,"adult",3,3,3,2,2008
"122","Uts_13A_009","Adult",2013,"adult",22,22,22,2,2008
"123","Uts_13A_013","Adult",2013,"adult",55,55,55,2,2007
"124","Uts_13A_014","Adult",2013,"adult",5,5,5,2,2007
"125","Uts_13A_016","Adult",2013,"adult",9,9,9,2,2008
"126","Uts_13A_019","Adult",2013,"adult",5,5,5,2,2008
"127","Uts_13A_020","Adult",2013,"adult",1,1,1,2,2008
"128","Uts_13A_023","Adult",2013,"adult",36,36,36,2,2006
"129","Uts_13A_024","Adult",2013,"adult",164,164,164,2,2007
"130","Uts_13A_026","Adult",2013,"adult",13,13,13,2,2009
"131","Uts_13A_028","Adult",2013,"adult",20,20,20,2,2007
"132","Uts_13A_029","Adult",2013,"adult",34,34,34,2,2007
"133","Uts_13A_030","Adult",2013,"adult",1,1,1,2,2008
"134","Uts_13A_031","Adult",2013,"adult",5,5,5,2,2008
"135","Uts_13A_036","Adult",2013,"adult",9,9,9,2,2008
"136","Uts_13A_038","Adult",2013,"adult",2,2,2,2,2008
"137","Uts_13A_041","Adult",2013,"adult",5,5,5,2,2007
"138","Uts_13A_043","Adult",2013,"adult",179,179,179,2,2007
"139","Uts_13A_050","Adult",2013,"adult",47,47,47,2,2008
"140","Uts_13A_051","Adult",2013,"adult",7,7,7,2,2008
"141","Uts_13A_053","Adult",2013,"adult",1,1,1,2,2007
"142","Uts_13A_055","Adult",2013,"adult",27,27,27,2,2008
"143","Uts_13A_056","Adult",2013,"adult",59,59,59,2,2008
"144","Uts_13A_057","Adult",2013,"adult",6,6,6,2,2008
"145","Uts_13A_063","Adult",2013,"adult",17,17,17,2,2008
"146","Uts_14_0y_0043","Offspring",2014,"0y",1,NA,1,2,2014
"147","Uts_14_0y_0147","Offspring",2014,"0y",1,NA,1,2,2014
"148","Uts_14_0y_0150","Offspring",2014,"0y",1,1,1,2,2014
"149","Uts_14_0y_0226","Offspring",2014,"0y",1,NA,1,2,2014
"150","Uts_14_0y_0241","Offspring",2014,"0y",1,1,1,2,2014
"151","Uts_14_0y_0296","Offspring",2014,"0y",1,1,1,2,2014
"152","Uts_14_0y_0370","Offspring",2014,"0y",1,NA,1,2,2014
"153","Uts_14_0y_0417","Offspring",2014,"0y",1,NA,1,2,2014
"154","Uts_14_0y_0508","Offspring",2014,"0y",1,NA,2,2,2014
"155","Uts_14_0y_0673","Offspring",2014,"0y",1,NA,NA,2,2014
"156","Uts_14_0y_0844","Offspring",2014,"0y",1,NA,1,2,2014
"157","Uts_14_0y_0864","Offspring",2014,"0y",1,NA,1,2,2014
"158","Uts_14_0y_0936","Offspring",2014,"0y",1,1,1,2,2014
"159","Uts_14_0y_0953","Offspring",2014,"0y",1,1,1,2,2014
"160","Uts_14_0y_0959","Offspring",2014,"0y",1,1,1,2,2014
"161","Uts_14_0y_1117","Offspring",2014,"0y",2,NA,3,2,2014
"162","Uts_14_0y_1333","Offspring",2014,"0y",1,1,1,2,2014
"163","Uts_14_0y_1464","Offspring",2014,"0y",1,1,1,2,2014
"164","Uts_14_0y_1575","Offspring",2014,"0y",1,NA,1,2,2014
"165","Uts_14_1y_0019","Offspring",2014,"1y",1,1,1,2,2013
"166","Uts_14_1y_0123","Offspring",2014,"1y",1,NA,1,2,2013
