id,dam,sire,birth_year,gender
*431,NA,NA,1,unknown
#8,NA,NA,1,unknown
UTS_16A_015,NA,NA,1,male
#177,NA,NA,1,unknown
#117,NA,NA,1,unknown
UTS_16A_028,NA,NA,1,male
#120,NA,NA,1,unknown
UTS_16A_020,NA,NA,1,male
#15,NA,NA,1,unknown
#12,NA,NA,1,unknown
UTS_16A_096,NA,NA,1,female
#115,NA,NA,1,unknown
*423,NA,NA,1,unknown
Uts_14A_053,NA,NA,1,male
#1,NA,NA,1,unknown
*15,NA,NA,1,unknown
*29,NA,NA,1,unknown
#143,NA,NA,1,unknown
*22,NA,NA,1,unknown
#17,NA,NA,1,unknown
UTS_16A_067,NA,NA,1,male
*396,NA,NA,1,unknown
*377,NA,NA,1,unknown
*237,NA,NA,1,unknown
UTS_16A_108,NA,NA,1,female
*417,NA,NA,1,unknown
*170,NA,NA,1,unknown
#27,NA,NA,1,unknown
*133,NA,NA,1,unknown
*31,NA,NA,1,unknown
UTS_16A_111,NA,NA,1,male
*18,NA,NA,1,unknown
#25,NA,NA,1,unknown
#21,NA,NA,1,unknown
UTS_16A_057,NA,NA,1,male
#18,NA,NA,1,unknown
*17,NA,NA,1,unknown
*440,NA,NA,1,unknown
UTS_16A_048,NA,NA,1,female
*387,NA,NA,1,unknown
#245,NA,NA,1,unknown
Uts_14A_025,NA,NA,1,male
#108,NA,NA,1,unknown
UTS_16A_101,NA,NA,1,male
#248,NA,NA,1,unknown
Uts_14A_068,NA,NA,1,male
*45,NA,NA,1,unknown
#241,NA,NA,1,unknown
UTS_16A_086,NA,NA,1,male
*125,NA,NA,1,unknown
UTS_16A_016,NA,NA,1,male
*172,NA,NA,1,unknown
*374,NA,NA,1,unknown
Uts_14A_058,NA,NA,1,male
*146,NA,NA,1,unknown
Uts_14A_074,NA,NA,1,male
UTS_16A_018,NA,NA,1,male
*231,NA,NA,1,unknown
UTS_16A_063,NA,NA,1,male
*727,NA,NA,1,unknown
*381,NA,NA,1,unknown
*44,NA,NA,1,unknown
*136,NA,NA,1,unknown
*162,NA,NA,1,unknown
*240,NA,NA,1,unknown
*713,NA,NA,1,unknown
*330,NA,NA,1,unknown
*40,NA,NA,1,unknown
#4,NA,NA,1,unknown
*135,NA,NA,1,unknown
*46,NA,NA,1,unknown
*263,NA,NA,1,unknown
*176,NA,NA,1,unknown
#126,NA,NA,1,unknown
#142,NA,NA,1,unknown
*710,NA,NA,1,unknown
UTS_16A_082,NA,NA,1,male
*38,NA,NA,1,unknown
*152,NA,NA,1,unknown
#423,NA,NA,1,unknown
*698,NA,NA,1,unknown
*158,NA,NA,1,unknown
*173,NA,NA,1,unknown
*401,NA,NA,1,unknown
Uts_14A_031,NA,NA,1,male
*380,NA,NA,1,unknown
*177,NA,NA,1,unknown
*386,NA,NA,1,unknown
*41,NA,NA,1,unknown
*390,NA,NA,1,unknown
*14,NA,NA,1,unknown
*169,NA,NA,1,unknown
UTS_16A_080,NA,NA,1,male
*419,NA,NA,1,unknown
*32,NA,NA,1,unknown
UTS_16A_070,NA,NA,1,male
*420,NA,NA,1,unknown
*448,NA,NA,1,unknown
*442,NA,NA,1,unknown
*421,NA,NA,1,unknown
UTS_16A_039,NA,NA,1,male
*8,NA,NA,1,unknown
UTS_16A_014,NA,NA,1,male
Uts_14A_019,NA,NA,1,male
*163,NA,NA,1,unknown
*119,NA,NA,1,unknown
*399,NA,NA,1,unknown
*372,NA,NA,1,unknown
*366,NA,NA,1,unknown
*86,NA,NA,1,unknown
*160,NA,NA,1,unknown
*685,NA,NA,1,unknown
UTS_16A_002,NA,NA,1,male
*37,NA,NA,1,unknown
*429,NA,NA,1,unknown
*138,NA,NA,1,unknown
*243,NA,NA,1,unknown
UTS_16A_007,NA,NA,1,male
*131,NA,NA,1,unknown
*391,NA,NA,1,unknown
*340,NA,NA,1,unknown
UTS_16A_114,NA,NA,1,male
*153,NA,NA,1,unknown
*379,NA,NA,1,unknown
UTS_16A_113,NA,NA,1,male
UTS_16A_019,NA,NA,1,male
*338,NA,NA,1,unknown
*80,NA,NA,1,unknown
#59,NA,NA,1,unknown
UTS_16A_105,NA,NA,1,female
*28,NA,NA,1,unknown
#6,NA,NA,1,unknown
*148,NA,NA,1,unknown
#3,NA,NA,1,unknown
#13,NA,NA,1,unknown
*382,NA,NA,1,unknown
#10,NA,NA,1,unknown
#64,NA,NA,1,unknown
*437,NA,NA,1,unknown
#2,NA,NA,1,unknown
*128,NA,NA,1,unknown
UTS_16A_102,NA,NA,1,female
*161,NA,NA,1,unknown
Uts_14A_103,NA,NA,1,male
*168,NA,NA,1,unknown
*132,NA,NA,1,unknown
#20,NA,NA,1,unknown
*13,NA,NA,1,unknown
#71,NA,NA,1,unknown
#72,NA,NA,1,unknown
*147,NA,NA,1,unknown
*159,NA,NA,1,unknown
*6,NA,NA,1,unknown
*1,NA,NA,1,unknown
#29,NA,NA,1,unknown
#9,NA,NA,1,unknown
*129,NA,NA,1,unknown
#11,NA,NA,1,unknown
*23,NA,NA,1,unknown
*79,NA,NA,1,unknown
#123,NA,NA,1,unknown
#62,NA,NA,1,unknown
*166,NA,NA,1,unknown
UTS_16A_075,NA,NA,1,male
UTS_16A_079,NA,NA,1,male
*244,NA,NA,1,unknown
*2,NA,NA,1,unknown
#246,NA,NA,1,unknown
#122,NA,NA,1,unknown
*426,NA,NA,1,unknown
#26,NA,NA,1,unknown
#7,NA,NA,1,unknown
*428,NA,NA,1,unknown
#35,NA,NA,1,unknown
*144,NA,NA,1,unknown
*319,NA,NA,1,unknown
UTS_16A_037,NA,NA,1,female
UTS_16A_074,NA,NA,1,male
#140,NA,NA,1,unknown
*315,NA,NA,1,unknown
*82,NA,NA,1,unknown
UTS_16A_052,NA,NA,1,male
UTS_16A_100,NA,NA,1,male
UTS_16A_008,NA,NA,1,male
*313,NA,NA,1,unknown
*26,NA,NA,1,unknown
#189,NA,NA,1,unknown
#31,NA,NA,1,unknown
*9,NA,NA,1,unknown
*142,NA,NA,1,unknown
UTS_16A_104,NA,NA,1,male
*329,NA,NA,1,unknown
*449,NA,NA,1,unknown
*721,NA,NA,1,unknown
*397,NA,NA,1,unknown
UTS_16A_017,NA,NA,1,male
#22,NA,NA,1,unknown
#238,NA,NA,1,unknown
UTS_16A_055,NA,NA,1,male
*143,NA,NA,1,unknown
UTS_16A_084,NA,NA,1,male
#70,NA,NA,1,unknown
Uts_14A_002,NA,NA,1,male
*157,NA,NA,1,unknown
UTS_16A_064,NA,NA,1,female
UTS_16A_066,NA,NA,1,male
*336,NA,NA,1,unknown
*39,NA,NA,1,unknown
*84,NA,NA,1,unknown
*150,NA,NA,1,unknown
*3,NA,NA,1,unknown
*395,NA,NA,1,unknown
*378,NA,NA,1,unknown
*27,NA,NA,1,unknown
Uts_14A_061,NA,NA,1,male
#101,NA,NA,1,unknown
*384,NA,NA,1,unknown
*10,NA,NA,1,unknown
*681,NA,NA,1,unknown
UTS_16A_009,NA,NA,1,male
*321,NA,NA,1,unknown
*174,NA,NA,1,unknown
UTS_16A_053,NA,NA,1,male
*21,NA,NA,1,unknown
*7,NA,NA,1,unknown
*130,NA,NA,1,unknown
*30,NA,NA,1,unknown
*425,NA,NA,1,unknown
*25,NA,NA,1,unknown
*33,NA,NA,1,unknown
UTS_16A_029,NA,NA,1,male
*141,NA,NA,1,unknown
