id,dam,sire,birth_year,gender
Uts_14A_098,gp*112,gp#43,1,male
Uts_14A_065,gp*112,gp#43,1,male
Uts_11_07,gp*101,gp#1,1,male
Uts_13A_019,gp*101,gp#98,1,male
UTS_16A_056,gp*1,gp#43,1,male
Uts_14A_082,gp*1,gp#43,1,male
UTS_17A_094,gp*1,gp#1,1,male
UTS_16A_061,gp*52,gp#47,1,male
Uts36,gp*52,gp#47,1,male
Uts_14A_048,gp*52,gp#136,1,male
Uts_13A_009,gp*98,gp#48,1,male
Uts_13A_006,gp*96,gp#91,1,male
UTS_15A_067,gp*96,gp#48,1,female
UTS_17A_095,gp*2,gp#2,1,male
Uts_14A_047,gp*2,gp#48,1,male
UTS_15A_064,gp*2,gp#166,1,male
UTS_15A_010,gp*2,gp#136,1,female
UTS_15A_046,gp*88,gp#166,1,male
Uts_12A_029,gp*88,gp#32,1,male
UTS_16A_062,gp*34,gp#48,1,male
UTS_16A_033,gp*34,gp#32,1,male
Uts33,gp*29,gp#22,1,male
UTS_16A_028,gp*29,gp#29,1,male
UTS_17A_097,gp*3,gp#3,1,male
UTS_16A_091,gp*3,gp#22,1,female
Uts_12A_033,gp*85,gp#86,1,male
Uts_12A_024,gp*85,gp#3,1,male
UTS_16A_020,gp*21,gp#22,1,male
UTS_16A_086,gp*68,gp#29,1,male
Uts_13A_063,gp*68,gp#151,1,male
UTS_16A_066,gp*55,gp#29,1,male
Uts_14A_001,gp*118,gp#4,1,male
Uts_14A_019,gp*118,gp#4,1,male
UTS_16A_050,gp*118,gp#4,1,female
Uts_14A_016,gp*123,gp#4,1,male
Uts_14A_077,gp*123,gp#4,1,male
UTS_16A_017,gp*18,gp#19,1,male
Uts_14A_061,gp*18,gp#4,1,male
Uts_14A_093,gp*18,gp#130,1,male
Uts_12A_034,gp*90,gp#87,1,male
Uts_13A_016,gp*90,gp#96,1,male
UTS_15A_037,gp*90,gp#164,1,male
UTS_15A_015,gp*155,gp#31,1,male
UTS_16A_046,gp*44,gp#39,1,male
Uts_11_37,gp*44,gp#4,1,female
Uts_14A_005,gp*44,gp#119,1,male
Uts_14A_013,gp*44,gp#119,1,male
UTS_15A_026,gp*44,gp#31,1,female
UTS_16A_102,gp*186,gp#4,1,female
UTS_16A_106,gp*32,gp#71,1,male
UTS_16A_031,gp*32,gp#31,1,male
Uts48,gp*172,gp#19,1,male
Uts03,gp*172,gp#174,1,male
UTS_16A_001,gp*4,gp#4,1,male
Uts_12A_012,gp*147,gp#71,1,male
Uts_12A_007,gp*147,gp#96,1,male
UTS_16A_053,gp*47,gp#31,1,male
Uts_14A_029,gp*129,gp#130,1,male
UTS_15A_080,gp*171,gp#71,1,male
Uts_12A_002,gp*130,gp#19,1,male
UTS_15A_074,gp*130,gp#130,1,male
Uts_14A_034,gp*130,gp#133,1,male
Uts_14A_090,gp*130,gp#23,1,male
UTS_15A_017,gp*154,gp#31,1,male
UTS_15A_013,gp*154,gp#133,1,male
Uts_11_17,gp*177,gp#39,1,male
Uts_11_52,gp*177,gp#191,1,female
Uts06,gp*22,gp#96,1,male
UTS_16A_108,gp*22,gp#191,1,female
UTS_16A_021,gp*22,gp#23,1,male
UTS_15A_076,gp*168,gp#6,1,male
UTS_15A_057,gp*168,gp#135,1,male
UTS_16A_002,gp*5,gp#5,1,male
UTS_16A_003,gp*6,gp#6,1,male
Uts_14A_046,gp*6,gp#135,1,male
UTS_15A_019,gp*61,gp#6,1,male
UTS_16A_074,gp*61,gp#5,1,male
UTS_15A_016,gp*61,gp#159,1,male
UTS_15A_041,gp*164,gp#165,1,male
UTS_15A_049,gp*164,gp#135,1,male
UTS_15A_068,gp*93,gp#63,1,male
Uts_13A_001,gp*93,gp#89,1,male
Uts_14A_014,gp*122,gp#125,1,male
UTS_15A_005,gp*7,gp#157,1,male
UTS_15A_081,gp*7,gp#157,1,male
Uts_14A_033,gp*7,gp#40,1,male
UTS_16A_004,gp*7,gp#7,1,male
Uts_14A_101,gp*7,gp#7,1,male
UTS_15A_007,gp*7,gp#7,1,male
UTS_16A_094,gp*71,gp#63,1,male
Uts_13A_046,gp*71,gp#110,1,male
Uts_13A_015,gp*71,gp#89,1,male
UTS_15A_012,gp*153,gp#118,1,male
UTS_16A_073,gp*60,gp#56,1,male
UTS_16A_096,gp*60,gp#190,1,female
UTS_16A_109,gp*60,gp#73,1,male
Uts_14A_074,gp*60,gp#144,1,male
Uts_14A_103,gp*60,gp#40,1,male
Uts_14A_025,gp*60,gp#40,1,male
Uts_12A_008,gp*60,gp#40,1,male
Uts_14A_031,gp*60,gp#40,1,male
Uts_14A_002,gp*60,gp#117,1,male
UTS_15A_028,gp*45,gp#125,1,male
Uts_14A_030,gp*45,gp#131,1,male
Uts_14A_004,gp*45,gp#118,1,male
UTS_16A_047,gp*45,gp#40,1,male
Uts_14A_003,gp*45,gp#40,1,male
UTS_15A_032,gp*45,gp#40,1,male
UTS_16A_037,gp*45,gp#40,1,female
Uts_14A_073,gp*45,gp#89,1,male
UTS_16A_082,gp*66,gp#8,1,male
Uts13,gp*66,gp#100,1,male
Uts_11_54,gp*66,gp#100,1,male
Uts11,gp*66,gp#66,1,male
Uts_12A_003,gp*191,gp#100,1,female
UTS_16A_071,gp*30,gp#54,1,male
UTS_16A_029,gp*30,gp#8,1,male
UTS_16A_060,gp*30,gp#46,1,male
Uts_14A_063,gp*30,gp#109,1,male
Uts_13A_065,gp*25,gp#196,1,female
UTS_16A_024,gp*25,gp#26,1,male
UTS_16A_098,gp*25,gp#66,1,male
Uts_14A_079,gp*151,gp#154,1,male
UTS_15A_072,gp*151,gp#26,1,male
UTS_16A_052,gp*46,gp#42,1,male
UTS_16A_049,gp*46,gp#8,1,male
UTS_15A_079,gp*46,gp#26,1,male
UTS_16A_110,gp*79,gp#42,1,male
Uts01,gp*79,gp#172,1,male
Uts_13A_041,gp*109,gp#109,1,male
UTS_16A_005,gp*8,gp#8,1,male
Uts_13A_023,gp*8,gp#100,1,male
Uts51,gp*8,gp#66,1,male
UTS_16A_025,gp*26,gp#26,1,male
Uts_13A_053,gp*157,gp#178,1,male
UTS_16A_064,gp*157,gp#27,1,female
UTS_15A_025,gp*157,gp#163,1,male
Uts_11_28,gp*193,gp#9,1,female
UTS_16A_034,gp*35,gp#13,1,male
Uts_14A_089,gp*35,gp#103,1,male
UTS_16A_026,gp*27,gp#27,1,male
Uts_11_12,gp*12,gp#178,1,male
UTS_16A_011,gp*12,gp#13,1,male
UTS_16A_009,gp*12,gp#9,1,male
UTS_16A_006,gp*9,gp#9,1,male
Uts_14A_108,gp*188,gp#103,1,female
Uts_13A_028,gp*106,gp#103,1,male
Uts_12A_009,gp*106,gp#103,1,male
Uts_12A_019,gp*106,gp#103,1,female
UTS_15A_023,gp*64,gp#161,1,male
UTS_15A_069,gp*64,gp#161,1,male
UTS_16A_079,gp*64,gp#10,1,male
UTS_16A_095,gp*64,gp#64,1,male
Uts_14A_106,gp*115,gp#101,1,male
UTS_15A_022,gp*115,gp#64,1,male
UTS_15A_036,gp*162,gp#101,1,male
Uts_12A_026,gp*87,gp#82,1,male
UTS_16A_117,gp*40,gp#76,1,male
UTS_16A_041,gp*40,gp#10,1,male
UTS_15A_009,gp*40,gp#10,1,male
UTS_17A_098,gp*40,gp#188,1,female
Uts_13A_013,gp*70,gp#94,1,male
UTS_16A_092,gp*70,gp#10,1,male
