         OffspringID             FatherID             MotherID    CloneIndex  ClusterIndex
         Uts_14A_098               gp*112                gp#43           161             1
         Uts_14A_065               gp*112                gp#43           216             1
               Uts07               gp*101                 gp#1           334             1
           Uts_11_07               gp*101                 gp#1           334             1
         Uts_13A_019               gp*101                gp#98           139             1
         UTS_16A_056                 gp*1                gp#43            54             1
         Uts_14A_082                 gp*1                gp#43           227             1
         UTS_17A_094                 gp*1                 gp#1             1             1
         UTS_16A_061                gp*52                gp#47            59             2
               Uts36                gp*52                gp#47           360             2
         Uts_14A_048                gp*52               gp#136           204             2
         Uts_13A_009                gp*98                gp#48           130             2
         Uts_13A_006                gp*96                gp#91           127             2
         UTS_15A_067                gp*96                gp#48           425             2
         UTS_17A_095                 gp*2                 gp#2             2             2
         Uts_14A_047                 gp*2                gp#48           203             2
         UTS_15A_064                 gp*2               gp#166           314             2
         UTS_15A_010                 gp*2               gp#136           415             2
         UTS_15A_046                gp*88               gp#166           300             2
         Uts_12A_029                gp*88                gp#32           116             2
         UTS_16A_062                gp*34                gp#48            60             2
         UTS_16A_033                gp*34                gp#32            36             2
               Uts33                gp*29                gp#22           357             3
         UTS_16A_028                gp*29                gp#29            31             3
         UTS_17A_097                 gp*3                 gp#3             3             3
         UTS_16A_091                 gp*3                gp#22           385             3
         Uts_12A_033                gp*85                gp#86           119             3
         Uts_12A_024                gp*85                 gp#3           112             3
         UTS_16A_020                gp*21                gp#22            23             3
         UTS_16A_086                gp*68                gp#29            82             3
         Uts_13A_063                gp*68               gp#151           243             3
         UTS_16A_066                gp*55                gp#29            63             3
         Uts_14A_001               gp*118                 gp#4           171             4
         Uts_14A_019               gp*118                 gp#4           186             4
         UTS_16A_050               gp*118                 gp#4           382             4
         Uts_14A_016               gp*123                 gp#4           183             4
         Uts_14A_077               gp*123                 gp#4           223             4
         UTS_16A_017                gp*18                gp#19            20             4
         Uts_14A_061                gp*18                 gp#4           213             4
         Uts_14A_093                gp*18               gp#130           236             4
         Uts_12A_034                gp*90                gp#87           120             4
         Uts_13A_016                gp*90                gp#96           136             4
         UTS_15A_037                gp*90               gp#164           292             4
         UTS_15A_015               gp*155                gp#31           273             4
         UTS_16A_046                gp*44                gp#39            46             4
               Uts37                gp*44                 gp#4           431             4
           Uts_11_37                gp*44                 gp#4           431             4
         Uts_14A_005                gp*44               gp#119           175             4
         Uts_14A_013                gp*44               gp#119           181             4
         UTS_15A_026                gp*44                gp#31           418             4
         UTS_16A_102               gp*186                 gp#4           387             4
         UTS_16A_106                gp*32                gp#71            98             4
         UTS_16A_031                gp*32                gp#31            34             4
               Uts48               gp*172                gp#19           369             4
               Uts03               gp*172               gp#174           330             4
         UTS_16A_001                 gp*4                 gp#4             4             4
         Uts_12A_012               gp*147                gp#71           255             4
         Uts_12A_007               gp*147                gp#96           250             4
         UTS_16A_053                gp*47                gp#31            51             4
         Uts_14A_029               gp*129               gp#130           194             4
         UTS_15A_080               gp*171                gp#71           325             4
         Uts_12A_002               gp*130                gp#19           247             4
         UTS_15A_074               gp*130               gp#130           322             4
         Uts_14A_034               gp*130               gp#133           198             4
         Uts_14A_090               gp*130                gp#23           234             4
         UTS_15A_017               gp*154                gp#31           275             4
         UTS_15A_013               gp*154               gp#133           271             4
               Uts17               gp*177                gp#39           344             4
           Uts_11_17               gp*177                gp#39           344             4
               Uts52               gp*177               gp#191           433             4
           Uts_11_52               gp*177               gp#191           433             4
               Uts06                gp*22                gp#96           333             4
         UTS_16A_108                gp*22               gp#191           389             4
         UTS_16A_021                gp*22                gp#23            24             4
         UTS_15A_076               gp*168                 gp#6           323             5
         UTS_15A_057               gp*168               gp#135           309             5
         UTS_16A_002                 gp*5                 gp#5             5             5
         UTS_16A_003                 gp*6                 gp#6             6             5
         Uts_14A_046                 gp*6               gp#135           202             5
         UTS_15A_019                gp*61                 gp#6           277             5
         UTS_16A_074                gp*61                 gp#5            71             5
         UTS_15A_016                gp*61               gp#159           274             5
         UTS_15A_041               gp*164               gp#165           295             5
         UTS_15A_049               gp*164               gp#135           303             5
         UTS_15A_068                gp*93                gp#63           316             6
         Uts_13A_001                gp*93                gp#89           123             6
         Uts_14A_014               gp*122               gp#125           182             6
         UTS_15A_005                 gp*7               gp#157           265             6
         UTS_15A_081                 gp*7               gp#157           326             6
         Uts_14A_033                 gp*7                gp#40           197             6
         UTS_16A_004                 gp*7                 gp#7             7             6
         Uts_14A_101                 gp*7                 gp#7           163             6
         UTS_15A_007                 gp*7                 gp#7           267             6
         UTS_16A_094                gp*71                gp#63            89             6
         Uts_13A_046                gp*71               gp#110           159             6
         Uts_13A_015                gp*71                gp#89           135             6
         UTS_15A_012               gp*153               gp#118           270             6
         UTS_16A_073                gp*60                gp#56            70             6
         UTS_16A_096                gp*60               gp#190           386             6
         UTS_16A_109                gp*60                gp#73           100             6
         Uts_14A_074                gp*60               gp#144           222             6
         Uts_14A_103                gp*60                gp#40           165             6
         Uts_14A_025                gp*60                gp#40           190             6
         Uts_12A_008                gp*60                gp#40           251             6
         Uts_14A_031                gp*60                gp#40           258             6
         Uts_14A_002                gp*60               gp#117           172             6
         UTS_15A_028                gp*45               gp#125           284             6
         Uts_14A_030                gp*45               gp#131           195             6
         Uts_14A_004                gp*45               gp#118           174             6
         UTS_16A_047                gp*45                gp#40            47             6
         Uts_14A_003                gp*45                gp#40           173             6
         UTS_15A_032                gp*45                gp#40           287             6
         UTS_16A_037                gp*45                gp#40           379             6
         Uts_14A_073                gp*45                gp#89           221             6
         UTS_16A_082                gp*66                 gp#8            78             7
               Uts13                gp*66               gp#100           340             7
               Uts54                gp*66               gp#100           373             7
           Uts_11_54                gp*66               gp#100           373             7
               Uts11                gp*66                gp#66           338             7
         Uts_12A_003               gp*191               gp#100           413             7
         UTS_16A_071                gp*30                gp#54            68             7
         UTS_16A_029                gp*30                 gp#8            32             7
         UTS_16A_060                gp*30                gp#46            58             7
         Uts_14A_063                gp*30               gp#109           214             7
         Uts_13A_065                gp*25               gp#196           411             7
         UTS_16A_024                gp*25                gp#26            27             7
         UTS_16A_098                gp*25                gp#66            92             7
         Uts_14A_079               gp*151               gp#154           260             7
         UTS_15A_072               gp*151                gp#26           320             7
         UTS_16A_052                gp*46                gp#42            50             7
         UTS_16A_049                gp*46                 gp#8            48             7
         UTS_15A_079                gp*46                gp#26           324             7
         UTS_16A_110                gp*79                gp#42           101             7
               Uts01                gp*79               gp#172           328             7
         Uts_13A_041               gp*109               gp#109           156             7
         UTS_16A_005                 gp*8                 gp#8             8             7
         Uts_13A_023                 gp*8               gp#100           141             7
               Uts51                 gp*8                gp#66           372             7
         UTS_16A_025                gp*26                gp#26            28             7
         Uts_13A_053               gp*157               gp#178           375             8
         UTS_16A_064               gp*157                gp#27           383             8
         UTS_15A_025               gp*157               gp#163           282             8
               Uts28               gp*193                 gp#9           429             8
           Uts_11_28               gp*193                 gp#9           429             8
         UTS_16A_034                gp*35                gp#13            37             8
         Uts_14A_089                gp*35               gp#103           233             8
         UTS_16A_026                gp*27                gp#27            29             8
               Uts12                gp*12               gp#178           339             8
           Uts_11_12                gp*12               gp#178           339             8
         UTS_16A_011                gp*12                gp#13            14             8
         UTS_16A_009                gp*12                 gp#9            12             8
         UTS_16A_006                 gp*9                 gp#9             9             8
         Uts_14A_108               gp*188               gp#103           405             8
         Uts_13A_028               gp*106               gp#103           146             8
         Uts_12A_009               gp*106               gp#103           252             8
         Uts_12A_019               gp*106               gp#103           393             8
         UTS_15A_023                gp*64               gp#161           280             9
